Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_pk,season
Alisson,br BRA,GK,Liverpool,28,1992,36,36,3240,36,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,,21/22
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,21/22
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,4,360,4,2,0.5,13,11,84.6,2,1,1,2,50,0,0,0,0,,21/22
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,12,1080,12,28,2.33,72,46,65.3,1,0,11,0,0,3,3,0,0,0,21/22
Asmir Begović,ba BIH,GK,Everton,34,1987,3,3,270,3,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0,21/22
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,0,100,21/22
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,2,180,2,5,2.5,11,6,54.5,0,1,1,0,0,0,0,0,0,,21/22
Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,8,720,8,15,1.87,37,23,64.9,0,5,3,0,0,2,2,0,0,0,21/22
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,26,2340,26,35,1.35,106,72,67.9,13,4,9,8,30.8,1,1,0,0,0,21/22
Ederson,br BRA,GK,Manchester City,27,1993,37,37,3330,37,26,0.7,83,57,69.9,28,6,3,20,54.1,1,1,0,0,0,21/22
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,37,3330,37,50,1.35,162,111,70.4,16,8,13,8,21.6,6,2,3,1,60,21/22
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,12,1080,12,24,2,69,47,66.7,3,2,7,1,8.3,1,1,0,0,0,21/22
Fraser Forster,eng ENG,GK,Southampton,33,1988,19,19,1710,19,35,1.84,101,68,67.3,6,5,8,3,15.8,2,2,0,0,0,21/22
Ben Foster,eng ENG,GK,Watford,38,1983,26,26,2340,26,49,1.88,116,67,60.3,5,5,16,4,15.4,4,3,1,0,25,21/22
David de Gea,es ESP,GK,Manchester Utd,30,1990,38,38,3420,38,57,1.5,180,124,70,16,10,12,8,21.1,5,3,2,0,40,21/22
Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,30,30,2655,29.5,33,1.12,116,83,74.1,9,11,10,11,36.7,3,3,0,0,0,21/22
Angus Gunn,sct SCO,GK,Norwich City,25,1996,9,9,810,9,22,2.44,57,34,64.9,1,2,6,1,11.1,4,2,1,1,33.3,21/22
Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,2,180,2,6,3,13,8,53.8,0,0,2,0,0,0,0,0,0,,21/22
Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,2,180,2,2,1,8,6,75,1,1,0,1,50,0,0,0,0,,21/22
Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,1,0,36,0.4,0,0,4,4,100,0,0,0,0,,0,0,0,0,,21/22
Tim Krul,nl NED,GK,Norwich City,33,1988,29,29,2610,29,62,2.14,165,105,66.7,4,5,20,5,17.2,8,7,0,1,0,21/22
Bernd Leno,de GER,GK,Arsenal,29,1992,4,4,360,4,9,2.25,19,10,52.6,1,0,3,1,25,0,0,0,0,,21/22
Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,38,3420,38,40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,0,21/22
Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,2,180,2,5,2.5,7,2,28.6,0,0,2,0,0,0,0,0,0,,21/22
Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,36,3240,36,48,1.33,140,93,68.6,13,6,17,11,30.6,6,4,1,1,20,21/22
Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,17,1530,17,27,1.59,71,44,62,3,7,7,5,29.4,0,0,0,0,,21/22
Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,34,3060,34,31,0.91,102,72,75.5,19,10,5,14,41.2,6,6,0,0,0,21/22
Illan Meslier,fr FRA,GK,Leeds United,21,2000,38,38,3384,37.6,79,2.1,220,142,66.4,9,11,18,5,13.2,5,5,0,0,0,21/22
Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,21/22
Jordan Pickford,eng ENG,GK,Everton,27,1994,35,35,3150,35,58,1.66,170,116,66.5,10,6,19,7,20,1,1,0,0,0,21/22
Nick Pope,eng ENG,GK,Burnley,29,1992,36,36,3240,36,47,1.31,165,119,74.5,7,14,15,9,25,5,5,0,0,0,21/22
Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,34,3060,34,39,1.15,128,90,73.4,21,3,10,12,35.3,6,5,0,1,0,21/22
David Raya,es ESP,GK,Brentford,25,1995,24,24,2160,24,27,1.13,103,76,77.7,10,5,9,8,33.3,4,4,0,0,0,21/22
John Ruddy,eng ENG,GK,Wolves,34,1986,2,1,135,1.5,3,2,7,4,57.1,0,1,0,0,0,0,0,0,0,,21/22
José Sá,pt POR,GK,Wolves,28,1993,37,37,3285,36.5,40,1.1,160,121,80.6,15,5,17,11,29.7,10,9,0,1,0,21/22
Robert Sánchez,es ESP,GK,Brighton,23,1997,37,37,3329,37,42,1.14,141,99,72.3,12,15,10,11,29.7,4,3,0,1,0,21/22
Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,37,3330,37,58,1.57,187,128,72.7,13,10,14,7,18.9,9,7,2,0,22.2,21/22
Jason Steele,eng ENG,GK,Brighton,30,1990,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,,21/22
Jed Steer,eng ENG,GK,Aston Villa,28,1992,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,,21/22
Zack Steffen,us USA,GK,Manchester City,26,1995,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,,21/22
Danny Ward,wls WAL,GK,Leicester City,28,1993,1,1,90,1,1,1,5,4,80,1,0,0,0,0,0,0,0,0,,21/22
Freddie Woodman,eng ENG,GK,Newcastle Utd,24,1997,4,4,360,4,12,3,22,9,54.5,0,1,3,0,0,3,2,1,0,33.3,21/22
Adrián,es ESP,GK,Liverpool,33,1987,3,3,270,3,9,3,18,9,50,1,1,1,1,33.3,0,0,0,0,,20/21
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0,2,2,100,0,0,0,0,,0,0,0,0,,20/21
Alisson,br BRA,GK,Liverpool,27,1992,33,33,2970,33,32,0.97,115,82,75.7,18,8,7,10,30.3,8,4,1,3,20,20/21
Alphonse Areola,fr FRA,GK,Fulham,27,1993,36,36,3240,36,48,1.33,161,114,73.9,5,13,18,9,25,6,6,0,0,0,20/21
Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,7,6,585,6.5,8,1.23,23,15,69.6,2,2,2,2,33.3,1,1,0,0,0,20/21
Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1,1,90,1,2,2,5,3,60,1,0,0,0,0,0,0,0,0,,20/21
David Button,eng ENG,GK,West Brom,31,1989,1,1,90,1,2,2,6,4,66.7,1,0,0,0,0,0,0,0,0,,20/21
Willy Caballero,ar ARG,GK,Chelsea,38,1981,1,1,90,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,,20/21
Scott Carson,eng ENG,GK,Manchester City,34,1985,1,1,90,1,3,3,5,1,60,1,0,0,0,0,2,1,1,0,50,20/21
Kiko Casilla,es ESP,GK,Leeds United,33,1986,3,3,270,3,2,0.67,10,8,80,2,0,1,1,33.3,0,0,0,0,,20/21
Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,25,2250,25,43,1.72,126,84,68.3,7,4,14,4,16,4,3,1,0,25,20/21
Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13,13,1170,13,19,1.46,62,44,71,5,5,3,3,23.1,1,1,0,0,0,20/21
Ederson,br BRA,GK,Manchester City,26,1993,36,36,3240,36,28,0.78,93,65,77.4,25,5,6,19,52.8,8,7,1,0,12.5,20/21
Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35,35,3150,35,44,1.26,138,97,70.3,17,8,10,10,28.6,5,3,1,1,25,20/21
