Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,season
Max Aarons,eng ENG,DF,Norwich City,21,2000,32,1107,1469,75.4,16588,6133,645,713,90.5,383,511,75,57,160,35.6,2,1.7,1.7,0.3,20,50,37,9,117,21/22
Che Adams,sct SCO,FW,Southampton,25,1996,22.7,304,472,64.4,4188,1017,188,256,73.4,73,106,68.9,18,34,52.9,3,3,1.7,0,26,24,10,0,33,21/22
Rayan Aït Nouri,dz ALG,DFMF,Wolves,20,2001,20.3,763,1025,74.4,12151,4064,418,472,88.6,273,361,75.6,54,141,38.3,2,1.6,1.1,0.4,17,28,14,10,49,21/22
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,627,892,70.3,10133,4740,303,372,81.5,255,342,74.6,47,105,44.8,3,1.7,1.8,1.3,8,41,13,2,82,21/22
Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,796,878,90.7,13200,4534,373,399,93.5,384,416,92.3,29,42,69,0,0.6,0.5,-0.6,2,63,3,0,57,21/22
Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,347,558,62.2,5152,2040,220,258,85.3,86,145,59.3,26,94,27.7,2,2,1,0,11,23,8,6,26,21/22
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,1340,1508,88.9,24737,7150,573,624,91.8,594,640,92.8,150,190,78.9,4,2.3,1.7,1.7,29,211,26,1,214,21/22
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2039,2757,74,40112,15683,841,964,87.2,811,1048,77.4,344,636,54.1,12,12,13,0,90,245,85,25,267,21/22
Alisson,br BRA,GK,Liverpool,28,1992,36,1214,1388,87.5,28439,18286,275,276,99.6,686,699,98.1,249,409,60.9,1,0.2,0,0.8,1,16,1,0,1,21/22
Allan,br BRA,MF,Everton,30,1991,24.3,778,982,79.2,12868,4192,356,405,87.9,337,402,83.8,57,102,55.9,2,0.8,1,1.2,15,103,20,3,130,21/22
Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,177,228,77.6,2353,563,105,124,84.7,45,53,84.9,10,20,50,0,0.3,0.4,-0.3,2,14,4,1,18,21/22
Dele Alli,eng ENG,MFFW,Everton,25,1996,3.8,114,157,72.6,1696,434,63,81,77.8,34,45,75.6,9,12,75,0,0.4,0.4,-0.4,7,10,3,1,13,21/22
Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,402,511,78.7,5720,1254,229,264,86.7,118,149,79.2,23,38,60.5,0,0.9,0.6,-0.9,16,26,5,0,46,21/22
Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,1142,1486,76.9,17781,5763,624,709,88,387,478,81,84,194,43.3,4,4.5,3.4,-0.5,43,67,34,15,93,21/22
Steven Alzate,co COL,MF,Brighton,22,1998,4.5,204,233,87.6,3213,865,105,116,90.5,72,78,92.3,17,24,70.8,0,0.2,0.2,-0.2,2,18,1,0,21,21/22
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,1399,1546,90.5,25246,8400,508,550,92.4,769,810,94.9,103,140,73.6,0,0.2,0.4,-0.2,4,71,1,0,62,21/22
