Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,season
Max Aarons,eng ENG,DF,Norwich City,21,2000,32,1841,160,721,703,440,23,1841,68,34,50,34,50,953,6454,3377,78,47,12,38,23,1030,85,21/22
Che Adams,sct SCO,FW,Southampton,25,1996,22.7,712,22,81,293,344,94,712,35,20,57.1,15,42.9,394,1804,651,19,13,13,59,34,537,153,21/22
Rayan Aït Nouri,dz ALG,DFMF,Wolves,20,2001,20.3,1293,49,459,458,392,39,1293,81,42,51.9,39,48.1,659,3744,1969,60,38,19,44,27,736,127,21/22
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,1101,108,442,484,181,31,1101,18,13,72.2,5,27.8,488,2991,1717,30,25,2,25,7,530,29,21/22
Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,956,56,332,525,103,10,956,2,0,0,2,100,677,3333,2158,12,12,0,4,3,741,8,21/22
Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,705,35,166,302,243,12,705,40,15,37.5,25,62.5,357,1616,691,21,14,2,21,8,397,56,21/22
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,1700,32,247,1106,362,20,1700,32,20,62.5,12,37.5,1039,5003,2393,24,43,1,16,13,1279,45,21/22
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,3036,71,602,1386,1070,83,3036,39,19,48.7,20,51.3,1504,5687,2824,53,55,14,41,19,1897,201,21/22
Alisson,br BRA,GK,Liverpool,28,1992,36,1469,1042,1452,17,0,0,1469,1,1,100,0,0,873,3573,2223,0,0,0,1,0,836,0,21/22
Allan,br BRA,MF,Everton,30,1991,24.3,1259,77,324,763,191,7,1259,31,21,67.7,10,32.3,650,3118,1603,26,24,4,38,24,672,18,21/22
Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,339,24,74,188,82,14,338,27,12,44.4,15,55.6,184,923,358,8,8,0,13,19,203,22,21/22
Dele Alli,eng ENG,MFFW,Everton,25,1996,3.8,225,13,50,107,71,13,225,14,5,35.7,9,64.3,108,708,290,7,8,3,15,6,132,21,21/22
Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,728,22,135,302,307,43,728,39,26,66.7,13,33.3,446,2959,1319,44,21,12,44,24,471,85,21/22
Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,1791,72,451,626,730,69,1791,35,15,42.9,20,57.1,882,4325,2172,51,32,10,43,25,1037,192,21/22
Steven Alzate,co COL,MF,Brighton,22,1998,4.5,292,14,79,165,50,3,292,8,6,75,2,25,148,650,330,3,7,1,8,3,177,6,21/22
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,1752,246,872,832,52,6,1752,7,6,85.7,1,14.3,1133,5040,2786,14,12,1,7,1,1278,0,21/22
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,2614,425,1538,1005,80,32,2614,9,7,77.8,2,22.2,1604,8191,4478,14,5,2,8,8,1865,4,21/22
Michail Antonio,jm JAM,FW,West Ham,31,1990,33,1095,17,59,398,663,159,1094,93,50,53.8,43,46.2,681,4270,1921,77,46,35,136,72,885,246,21/22
Cameron Archer,eng ENG,FWMF,Aston Villa,20,2001,0.3,11,0,1,3,7,1,11,1,0,0,1,100,7,44,10,0,1,0,1,2,7,1,21/22
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,42,40,42,0,0,0,42,0,0,,0,,20,85,41,0,0,0,0,0,20,0,21/22
Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,493,9,40,184,275,75,493,42,16,38.1,26,61.9,287,1882,768,39,24,22,45,13,335,105,21/22
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,946,22,124,408,428,41,946,54,27,50,27,50,595,4052,1934,63,50,12,40,27,661,78,21/22
