team,pl_ig,poss,mp,min_played,goals_scored,assists,non_pen_goals,pen_kicks,pen_kicks_att,goals_scored_90,assists_90,goals_no_penalties_90,goals_assists_no_penalties_90,season
Arsenal,29,58.9,38,3420,73,55,69,4,6,1.92,1.45,1.82,3.26,16/17
AFC Bournemouth,27,51.5,38,3420,53,33,46,7,10,1.39,0.87,1.21,2.08,16/17
Burnley,27,40.3,38,3420,39,24,33,6,6,1.03,0.63,0.87,1.5,16/17
Chelsea,24,55.1,38,3420,83,53,81,2,4,2.18,1.39,2.13,3.53,16/17
Crystal Palace,31,45.4,38,3420,48,32,44,4,7,1.26,0.84,1.16,2,16/17
Everton,27,52.1,38,3420,58,45,55,3,4,1.53,1.18,1.45,2.63,16/17
Hull City,28,45.9,38,3420,36,24,33,3,3,0.95,0.63,0.87,1.5,16/17
Leicester City,25,41.9,38,3420,46,32,42,4,6,1.21,0.84,1.11,1.95,16/17
Liverpool,23,62,38,3420,77,52,70,7,8,2.03,1.37,1.84,3.21,16/17
Manchester City,25,65,38,3420,75,54,68,7,9,1.97,1.42,1.79,3.21,16/17
Manchester United,31,56.5,38,3420,54,37,51,3,4,1.42,0.97,1.34,2.32,16/17
Middlesbrough,27,47.3,38,3420,26,22,24,2,2,0.68,0.58,0.63,1.21,16/17
Southampton,26,54.4,38,3420,39,27,36,3,6,1.03,0.71,0.95,1.66,16/17
Stoke City,26,46.3,38,3420,37,24,33,4,6,0.97,0.63,0.87,1.5,16/17
Sunderland,31,39.7,38,3420,28,11,23,5,5,0.74,0.29,0.61,0.89,16/17
Swansea City,27,47.9,38,3420,45,31,42,3,3,1.18,0.82,1.11,1.92,16/17
Tottenham Hotspur,24,60.5,38,3420,84,59,77,7,9,2.21,1.55,2.03,3.58,16/17
Watford,33,46.1,38,3420,39,27,36,3,3,1.03,0.71,0.95,1.66,16/17
West Brom,23,37.3,38,3420,43,33,42,1,1,1.13,0.87,1.11,1.97,16/17
West Ham,29,47.1,38,3420,46,28,43,3,4,1.21,0.74,1.13,1.87,16/17
Arsenal,30,61.5,38,3420,73,61,69,4,5,1.92,1.61,1.82,3.42,17/18
AFC Bournemouth,22,47.8,38,3420,45,36,42,3,3,1.18,0.95,1.11,2.05,17/18
Brighton & Hove Albion,24,43.7,38,3420,33,25,28,5,7,0.87,0.66,0.74,1.39,17/18
Burnley,24,43.9,38,3420,35,26,35,0,0,0.92,0.68,0.92,1.61,17/18
Chelsea,26,55.4,38,3420,60,42,57,3,3,1.58,1.11,1.5,2.61,17/18
Crystal Palace,28,45.3,38,3420,44,26,36,8,10,1.16,0.68,0.95,1.63,17/18
Everton,30,45.9,38,3420,42,26,37,5,8,1.11,0.68,0.97,1.66,17/18
Huddersfield Town,25,45.7,38,3420,25,19,23,2,2,0.66,0.5,0.61,1.11,17/18
Leicester City,27,47.9,38,3420,53,38,48,5,6,1.39,1,1.26,2.26,17/18
Liverpool,27,60.5,38,3420,82,58,80,2,3,2.16,1.53,2.11,3.63,17/18
