"","season","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","importance1","importance2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2","reg_season","after_covid","is_VAR"
"1",2016,"2017-01-06",1975,"Mexican Primera Division Torneo Clausura","Veracruz","Querétaro",34.87,39.06,0.4051,0.3334,0.2615,1.64,1.55,NA,NA,1,0,0.87,0.61,0.4,1.26,1.05,0,0,0,0
"2",2016,"2017-01-07",1975,"Mexican Primera Division Torneo Clausura","Cruz Azul","Necaxa",41.33,42.85,0.4266,0.3008,0.2726,1.52,1.29,NA,NA,1,0,0.51,0.24,0.68,0.58,1.05,0,0,0,0
"3",2016,"2017-01-07",1975,"Mexican Primera Division Torneo Clausura","Tigres UANL","Santos Laguna",47.59,37.33,0.5378,0.2084,0.2538,1.81,1.01,NA,NA,0,0,0.29,1.26,0.9,1.19,0,0,0,0,0
"4",2016,"2017-01-07",1975,"Mexican Primera Division Torneo Clausura","Morelia","Tijuana",38.6,42.67,0.4003,0.3309,0.2688,1.53,1.43,NA,NA,2,0,1.13,0.74,0.43,1.76,1.58,0,0,0,0
"5",2016,"2017-01-07",1975,"Mexican Primera Division Torneo Clausura","León","Pachuca",43.79,46.72,0.4197,0.3202,0.2602,1.68,1.5,NA,NA,2,4,1.05,2.26,0.84,1.15,2.1,3.75,0,0,0
"6",2016,"2017-01-07",1975,"Mexican Primera Division Torneo Clausura","Guadalajara","Pumas Unam",41.37,41.02,0.4481,0.2805,0.2714,1.58,1.21,NA,NA,2,1,1.3,1.68,0.7,1.59,2.1,1.05,0,0,0
"7",2016,"2017-01-08",1975,"Mexican Primera Division Torneo Clausura","Toluca","Atlas",40.81,38.43,0.4695,0.2636,0.2669,1.63,1.2,NA,NA,4,1,2.38,0.5,1.44,0.45,3.71,1.05,0,0,0
"8",2016,"2017-01-08",1975,"Mexican Primera Division Torneo Clausura","Puebla","Monterrey",37.65,45.01,0.3675,0.3695,0.263,1.55,1.6,NA,NA,2,3,1.22,2.46,1.61,1.73,2.1,3.15,0,0,0
"9",2016,"2017-01-13",1975,"Mexican Primera Division Torneo Clausura","Tijuana","Puebla",42.03,37,0.4935,0.2453,0.2613,1.73,1.15,NA,NA,6,2,2.2,1.15,1.35,1.02,5.65,2.1,0,0,0
"10",2016,"2017-01-14",1975,"Mexican Primera Division Torneo Clausura","Querétaro","Morelia",38.74,39.09,0.4397,0.2944,0.2659,1.64,1.32,NA,NA,0,0,0.68,1,0.48,1.11,0,0,0,0,0
"11",2016,"2017-01-14",1975,"Mexican Primera Division Torneo Clausura","Atlas","Tigres UANL",36.68,46.34,0.329,0.39,0.2809,1.27,1.41,NA,NA,2,0,1.42,0.55,0.86,0.7,2.09,0,0,0,0
"12",2016,"2017-01-14",1975,"Mexican Primera Division Torneo Clausura","Monterrey","Guadalajara",45.88,41.19,0.4823,0.2516,0.2661,1.65,1.16,NA,NA,2,2,3.98,0.69,3.37,0.28,2.1,2.1,0,0,0
"13",2016,"2017-01-14",1975,"Mexican Primera Division Torneo Clausura","Pachuca","Chiapas FC",48.35,31.4,0.5819,0.1772,0.2409,2.05,0.95,NA,NA,1,0,1.41,1.89,2.5,1.74,1.05,0,0,0,0
"14",2016,"2017-01-14",1975,"Mexican Primera Division Torneo Clausura","Necaxa","León",42.29,42.4,0.4478,0.2831,0.2691,1.6,1.25,NA,NA,0,1,1.33,2.02,0.48,2.71,0,1.05,0,0,0
"15",2016,"2017-01-15",1975,"Mexican Primera Division Torneo Clausura","Pumas Unam","Cruz Azul",41.23,41.57,0.4414,0.2961,0.2625,1.66,1.37,NA,NA,1,0,0.36,1.17,0.87,1.33,1.05,0,0,0,0
"16",2016,"2017-01-15",1975,"Mexican Primera Division Torneo Clausura","Toluca","Club América",42.75,46.05,0.4124,0.3183,0.2693,1.54,1.37,NA,NA,2,1,2.25,2.1,0.63,0.86,2.1,1.05,0,0,0
"17",2016,"2017-01-15",1975,"Mexican Primera Division Torneo Clausura","Santos Laguna","Veracruz",38.22,34.97,0.477,0.2652,0.2579,1.79,1.3,NA,NA,2,1,1.58,1.04,1.63,0.97,2.1,1.05,0,0,0
"18",2016,"2017-01-20",1975,"Mexican Primera Division Torneo Clausura","Veracruz","Atlas",34.63,38.17,0.4101,0.3246,0.2652,1.61,1.48,NA,NA,1,0,0.93,1.64,1.1,1.3,1.05,0,0,0,0
"19",2016,"2017-01-21",1975,"Mexican Primera Division Torneo Clausura","Cruz Azul","Monterrey",41.54,47.23,0.4004,0.3325,0.2671,1.56,1.48,NA,NA,2,2,2.14,1.32,1.98,0.56,2.1,2.1,0,0,0
"20",2016,"2017-01-21",1975,"Mexican Primera Division Torneo Clausura","Tigres UANL","Club América",44.72,45.7,0.4385,0.2833,0.2782,1.47,1.16,NA,NA,4,2,2.16,1.27,1.38,1.28,3.86,2.1,0,0,0
"21",2016,"2017-01-21",1975,"Mexican Primera Division Torneo Clausura","Morelia","Santos Laguna",39.55,38.55,0.4569,0.278,0.265,1.64,1.28,NA,NA,1,1,1.57,0.84,1.26,0.62,1.05,1.05,0,0,0
"22",2016,"2017-01-21",1975,"Mexican Primera Division Torneo Clausura","León","Pumas Unam",44.18,40.99,0.4757,0.2702,0.2541,1.82,1.35,NA,NA,0,1,1.67,0.87,0.92,1.57,0,1.05,0,0,0
"23",2016,"2017-01-21",1975,"Mexican Primera Division Torneo Clausura","Necaxa","Pachuca",40.49,47.82,0.375,0.3466,0.2784,1.41,1.38,NA,NA,1,0,0.36,0.92,0.76,0.77,1.05,0,0,0,0
"24",2016,"2017-01-21",1975,"Mexican Primera Division Torneo Clausura","Guadalajara","Tijuana",40.19,43.87,0.4018,0.3169,0.2813,1.41,1.24,NA,NA,0,1,0.61,0.77,1,0.57,0,1.05,0,0,0
"25",2016,"2017-01-22",1975,"Mexican Primera Division Torneo Clausura","Toluca","Chiapas FC",43.13,31.8,0.5539,0.1918,0.2543,1.8,0.97,NA,NA,0,1,0.61,0.65,1.09,1.21,0,1.05,0,0,0
"26",2016,"2017-01-22",1975,"Mexican Primera Division Torneo Clausura","Puebla","Querétaro",35.56,37.99,0.4288,0.304,0.2672,1.59,1.42,NA,NA,0,0,0.72,0.37,1.55,0.26,0,0,0,0,0
"27",2016,"2017-01-27",1975,"Mexican Primera Division Torneo Clausura","Tijuana","Cruz Azul",44.52,42.13,0.4677,0.2603,0.272,1.56,1.13,NA,NA,1,0,0.29,0.71,0.49,0.8,1.05,0,0,0,0
"28",2016,"2017-01-28",1975,"Mexican Primera Division Torneo Clausura","Querétaro","Guadalajara",37.65,39.29,0.4173,0.2867,0.2959,1.31,1.06,NA,NA,0,1,1.2,1.37,0.43,1.09,0,1.05,0,0,0
"29",2016,"2017-01-28",1975,"Mexican Primera Division Torneo Clausura","Atlas","Morelia",37.98,39.49,0.4261,0.3019,0.2719,1.55,1.29,NA,NA,3,1,1.9,1.12,1.38,1.34,3.15,1.05,0,0,0
