season,team1,team2,home.away,date,incident,type,min,big_six,big_six_h,big_six_a,big_six_t1,big_six_both,no_big_six_both,bs_vs_nbs
19/20,Brighton and Hove Albion,West Ham United,H,Aug. 17 ,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",AGAINST,27,0,0,0,No Big Six,0,1,0
19/20,Brighton and Hove Albion,Aston Villa,A,Oct. 19 ,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,FOR,42,0,0,0,No Big Six,0,1,0
19/20,Brighton and Hove Albion,Everton,H,Oct. 26 ,Penalty awarded (scored by Neil Maupay) for foul on Aaron Connolly by Michael Keane,FOR,78,0,0,0,No Big Six,0,1,0
19/20,Brighton and Hove Albion,Leicester City,H,Nov. 23 ,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,FOR,80,0,0,0,No Big Six,0,1,0
19/20,Brighton and Hove Albion,Arsenal,A,Dec. 5  ,David Luiz goal disallowed for offside,FOR,63,1,1,0,No Big Six,0,0,1
19/20,Brighton and Hove Albion,Sheffield United,H,Dec. 21 ,John Egan goal ruled out for handball,FOR,8,0,0,0,No Big Six,0,1,0
19/20,Brighton and Hove Albion,Sheffield United,H,Dec. 21 ,Jack O'Connell goal disallowed for offside,FOR,54,0,0,0,No Big Six,0,1,0
19/20,Brighton and Hove Albion,Tottenham Hotspur,A,Dec. 26 ,Harry Kane goal ruled out for offside,FOR,24,1,1,0,No Big Six,0,0,1
19/20,Brighton and Hove Albion,AFC Bournemouth,H,Dec. 28 ,Dan Burn goal ruled out for offside,AGAINST,58,0,0,0,No Big Six,0,1,0
19/20,Brighton and Hove Albion,Everton,A,Jan. 11 ,Goal for Dominic Calvert-Lewin ruled out for handball,FOR,75,0,0,0,No Big Six,0,1,0
19/20,Brighton and Hove Albion,West Ham United,A,Feb. 1  ,Goal for Glenn Murray allowed after incorrect handball,FOR,79,0,0,0,No Big Six,0,1,0
19/20,Brighton and Hove Albion,Burnley,A,July 26 ,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,FOR,57,0,0,0,No Big Six,0,1,0
19/20,Manchester United,Arsenal,H,Sept. 30,"Pierre-Emerick Aubameyang goal, originally ruled out for offside, overturned on review",AGAINST,58,1,1,1,Big Six,1,0,0
19/20,Manchester United,Liverpool,H,Oct. 20 ,Sadio Mane goal ruled out for handball,FOR,43,1,1,1,Big Six,1,0,0
19/20,Manchester United,Norwich City,A,Oct. 27 ,Penalty awarded (missed by Marcus Rashford) for foul on Daniel James by Ben Godfrey,FOR,25,1,0,1,Big Six,0,0,1
19/20,Manchester United,Norwich City,A,Oct. 27 ,Penalty awarded (missed by Anthony Martial) for handball by Todd Cantwell,FOR,41,1,0,1,Big Six,0,0,1
19/20,Manchester United,Manchester City,A,Dec. 7  ,Penalty awarded (scored by Marcus Rashford) for foul on Rashford by Bernardo Silva,FOR,23,1,1,1,Big Six,1,0,0
19/20,Manchester United,Liverpool,A,Jan. 19 ,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,FOR,25,1,1,1,Big Six,1,0,0
19/20,Manchester United,Chelsea,A,Feb. 17 ,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,FOR,55,1,1,1,Big Six,1,0,0
19/20,Manchester United,Chelsea,A,Feb. 17 ,Olivier Giroud goal disallowed for offside,FOR,77,1,1,1,Big Six,1,0,0
19/20,Manchester United,Watford,H,Feb. 23 ,Goal for Troy Deeney disallowed for handball by Craig Dawson,FOR,52,1,1,0,Big Six,0,0,1
19/20,Manchester United,Everton,A,March 1 ,Goal for Everton disallowed for offside against Gylfi Sigurdsson in front of David De Gea,FOR,92,1,0,1,Big Six,0,0,1
19/20,Manchester United,Tottenham Hotspur,A,June 19 ,Penalty awarded for a foul on Bruno Fernandes overturned,AGAINST,91,1,1,1,Big Six,1,0,0
19/20,Manchester United,Crystal Palace,A,July    ,Jordan Ayew goal disallowed for offside,FOR,55,1,0,1,Big Six,0,0,1
19/20,Manchester United,West Ham United,H,July 22 ,Penalty awarded for a handball by Paul Pogba (scored by Michael Antonio),AGAINST,45,1,1,0,Big Six,0,0,1
19/20,Crystal Palace,West Ham United,A,Oct. 5  ,Jordan Ayew goal awarded after originally being ruled out for offside,FOR,87,0,0,0,No Big Six,0,1,0
19/20,Crystal Palace,Arsenal,A,Oct. 27 ,Penalty awarded for foul by Calum Chambers on Wilfried Zaha (initially booked for diving),FOR,32,1,1,0,No Big Six,0,0,1
19/20,Crystal Palace,Arsenal,A,Oct. 27 ,Sokratis goal disallowed for foul by Calum Chambers,FOR,83,1,1,0,No Big Six,0,0,1
19/20,Crystal Palace,Liverpool,H,Nov. 23 ,James Tomkins goal ruled out for push by Jordan Ayew,AGAINST,43,1,0,1,No Big Six,0,0,1
19/20,Crystal Palace,Southampton,A,Dec. 28 ,Goal for Max Meyer ruled out for offside by Wilfried Zaha in the build-up,AGAINST,15,0,0,0,No Big Six,0,1,0
19/20,Crystal Palace,Norwich City,A,Jan. 1  ,Connor Wickham goal awarded after originally being ruled out for offside,FOR,85,0,0,0,No Big Six,0,1,0
19/20,Crystal Palace,Arsenal,H,Jan. 11 ,Pierre-Emerick Aubameyang sent off for foul on Max Meyer,FOR,65,1,0,1,No Big Six,0,0,1
19/20,Crystal Palace,Manchester City,A,Jan. 18 ,Penalty for handball against Jairo Riedewald cancelled,FOR,72,1,1,0,No Big Six,0,0,1
19/20,Crystal Palace,Sheffield United,H,Feb. 1  ,Red card for Joel Ward rescinded,FOR,74,0,0,0,No Big Six,0,1,0
19/20,Crystal Palace,Aston Villa,A,July 12 ,Mamadou Sakho goal ruled out for handball,AGAINST,7,0,0,0,No Big Six,0,1,0
19/20,Crystal Palace,Aston Villa,A,July 12 ,"Penalty cancelled, awarded for foul on Jack Grealish by Patrick van Aanholt",FOR,47,0,0,0,No Big Six,0,1,0
19/20,Crystal Palace,Manchester United,H,July    ,Jordan Ayew goal disallowed for offside,AGAINST,55,1,0,1,No Big Six,0,0,1
19/20,Burnley,Aston Villa,A,Sept. 28,"Goal for Villa's John McGinn ruled out on review, Conor Hourihane offside in build-up",FOR,25,0,0,0,No Big Six,0,1,0
19/20,Burnley,Leicester City,A,Oct. 21 ,Jonny Evans own goal ruled out due to a foul by Chris Wood,AGAINST,80,0,0,0,No Big Six,0,1,0
19/20,Burnley,Chelsea,H,Oct. 26 ,Penalty overturned for diving by Callum Hudson-Odoi,FOR,76,1,0,1,No Big Six,0,0,1
19/20,Burnley,West Ham United,H,Nov. 9  ,Chris Wood goal disallowed for offside,AGAINST,36,0,0,0,No Big Six,0,1,0
19/20,Burnley,Watford,A,Nov. 23 ,Penalty (scored by Barnes) awarded for foul on Ashley Barnes by Jose Holebas,FOR,80,0,0,0,No Big Six,0,1,0
19/20,Burnley,Aston Villa,H,Jan. 1  ,"Goal for Villa's Jack Grealish ruled out on review, Wesley offside in build-up",FOR,11,0,0,0,No Big Six,0,1,0
19/20,Burnley,AFC Bournemouth,H,Feb. 22 ,Goal for Josh King ruled out for handball in build-up by Philip Billing,FOR,22,0,0,0,No Big Six,0,1,0
19/20,Burnley,AFC Bournemouth,H,Feb. 22 ,"Goal for Harry Wilson ruled out for handball by Bournemouth's Adam Smith, penalty awarded and scored by Jay Rodriguez",FOR,57,0,0,0,No Big Six,0,1,0
19/20,Burnley,Manchester City,A,June 22 ,Penalty given (scored by Riyad Mahrez) for a foul by Ben Mee on Sergio Aguero,AGAINST,45,1,1,0,No Big Six,0,0,1
19/20,Burnley,Norwich City,A,July 18 ,Red card for Emiliano Buendia for an elbow on Ashley Westwood,FOR,33,0,0,0,No Big Six,0,1,0
19/20,Burnley,Brighton and Hove Albion,H,July 26 ,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,AGAINST,57,0,0,0,No Big Six,0,1,0
19/20,Newcastle,Sheffield United,A,Dec. 5  ,"Jonjo Shelvey goal, originally ruled out for offside, cleared by the VAR",FOR,70,0,0,0,No Big Six,0,1,0
19/20,Newcastle,Southampton,A,March 7 ,Moussa Djenepo sent off for challenge on Isaac Hayden,FOR,28,0,0,0,No Big Six,0,1,0
19/20,Newcastle,Southampton,A,March 7 ,Penalty awarded for handball by Sofiane Boufal,FOR,40,0,0,0,No Big Six,0,1,0
19/20,Southampton,Sheffield United,A,Sept. 14,Oliver McBurnie's goal disallowed for offside,FOR,52,0,0,0,No Big Six,0,1,0
19/20,Southampton,AFC Bournemouth,H,Sept. 20,"Josh King scored for the Cherries, but he was offside",FOR,25,0,0,0,No Big Six,0,1,0
19/20,Southampton,Wolverhampton,A,Oct. 19 ,Raul Jimenez goal ruled out for offside against Patrick Cutrone,FOR,42,0,0,0,No Big Six,0,1,0
19/20,Southampton,Leicester City,H,Oct. 25 ,Ryan Bertrand sent off for challenge on Ayoze Perez,AGAINST,12,0,0,0,No Big Six,0,1,0
19/20,Southampton,West Ham United,H,Dec. 14 ,Goal for Michail Antonio ruled out for handball,FOR,52,0,0,0,No Big Six,0,1,0
19/20,Southampton,Crystal Palace,H,Dec. 28 ,Goal for Max Meyer ruled out for offside by Wilfried Zaha in the build-up,FOR,15,0,0,0,No Big Six,0,1,0
19/20,Southampton,Leicester City,A,Jan. 11 ,Penalty for Southampton cancelled for offside against Shane Long in build-up,AGAINST,63,0,0,0,No Big Six,0,1,0
19/20,Southampton,Leicester City,A,Jan. 11 ,Jonny Evans goal ruled out for offside,FOR,90,0,0,0,No Big Six,0,1,0
19/20,Southampton,Wolverhampton,H,Jan. 18 ,Penalty awarded (scored by Raul Jimenez) for foul on Jonny by Jack Stephens,AGAINST,65,0,0,0,No Big Six,0,1,0
19/20,Southampton,Newcastle,H,March 7 ,Moussa Djenepo sent off for challenge on Isaac Hayden,AGAINST,28,0,0,0,No Big Six,0,1,0
19/20,Southampton,Newcastle,H,March 7 ,Penalty awarded (missed by Matt Ritchie) for handball by Sofiane Boufal,AGAINST,40,0,0,0,No Big Six,0,1,0
19/20,Southampton,AFC Bournemouth,A,July 19 ,Penalty awarded (missed by Danny Ings) for handball by Harry Wilson,FOR,57,0,0,0,No Big Six,0,1,0
19/20,Southampton,AFC Bournemouth,A,July 19 ,"Sam Surridge goal disallowed, Callum Wilson offside",FOR,94,0,0,0,No Big Six,0,1,0
19/20,Liverpool,Chelsea,A,Sept. 22,Chelsea goal ruled out after Mason Mount was offside in the build-up to Cesar Azpilicueta's goal,FOR,27,1,1,1,Big Six,1,0,0
19/20,Liverpool,Manchester United,A,Oct. 20 ,Sadio Mane goal ruled out for handball,AGAINST,43,1,1,1,Big Six,1,0,0
19/20,Liverpool,Crystal Palace,A,Nov. 23 ,James Tomkins goal ruled out for push by Jordan Ayew,FOR,43,1,0,1,Big Six,0,0,1
19/20,Liverpool,Watford,H,Dec. 14 ,Sadio Mane goal ruled out for offside,AGAINST,51,1,1,0,Big Six,0,0,1
19/20,Liverpool,Wolverhampton,H,Dec. 29 ,Goal for Sadio Mane given after originally ruled out for handball by Adam Lallana,FOR,42,1,1,0,Big Six,0,0,1
19/20,Liverpool,Wolverhampton,H,Dec. 29 ,Goal for Pedro Neto ruled out for offside in the build-up by Jonny,FOR,45,1,1,0,Big Six,0,0,1
19/20,Liverpool,Manchester United,H,Jan. 19 ,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,AGAINST,25,1,1,1,Big Six,1,0,0
19/20,Liverpool,Manchester City,A,July 2  ,City goal for Riyad Mahrez ruled out for handball by Phil Foden in the build-up,FOR,90,1,1,1,Big Six,1,0,0
19/20,Leicester City,Wolverhampton,H,Aug. 11 ,Wolves goal for Leander Dendoncker disallowed for handball in build-up by Willy Boly,FOR,51,0,0,0,No Big Six,0,1,0
19/20,Leicester City,Tottenham Hotspur,H,Sept. 21,Goal disallowed for offside against Ayoze Perez,AGAINST,16,1,0,1,No Big Six,0,0,1
19/20,Leicester City,Tottenham Hotspur,H,Sept. 21,Son Heung-Min offside in build-up to Serge Aurier goal,FOR,64,1,0,1,No Big Six,0,0,1
19/20,Leicester City,Burnley,H,Oct. 21 ,Jonny Evans own goal ruled out due to a foul by Chris Wood,FOR,80,0,0,0,No Big Six,0,1,0
19/20,Leicester City,Southampton,A,Oct. 25 ,Ryan Bertrand sent off for challenge on Ayoze Perez,FOR,12,0,0,0,No Big Six,0,1,0
19/20,Leicester City,Brighton and Hove Albion,A,Nov. 23 ,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,AGAINST,80,0,0,0,No Big Six,0,1,0
19/20,Leicester City,Everton,H,Dec. 1  ,Penalty for foul on Ben Chilwell by Mason Holgate cancelled,AGAINST,34,0,0,0,No Big Six,0,1,0
